"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"","","","","","html-keyboard-response","383","850505","0.0-16.0-0.0-1.22","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","384","852789","0.0-16.0-0.0-0.23","1282","","f","","","","","","","","","","","","","key","f","16.647845588235","960","536","f","true","img/C_28.png","朋友","prac_friend","","自我"
"","","","","","html-keyboard-response","385","853090","0.0-16.0-0.0-1.23","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","html-keyboard-response","386","856665","0.0-17.0","3572","[""<style>.context{color:white; font-size: 35px; line-height:40px}</style>                  <div><p class='context'>您正确回答了71% 的试次。</p><p class='context'>您的平均反应时为1013毫秒。</p><p class='context'>恭喜您完成这一阶段的练习。按任意键进入<span style='color: yellow;'>重点关注图形为“生人”</span>的练习。</p></div><p class='footer' style='font-size:35px; line-height:30px;'>任务要求：\n                  <p class='footer' style='font-size:35px; line-height:35px;'>对与“生人”对应的图形，如果 匹配 ，请按 <span style=\""color: lightgreen;\"">k键</span></p><p class='footer' style='font-size:35px'>如果 不匹配 ，请按<span style=\""color: lightgreen;\"">j键</p></span>\n                  <p class='footer' style='font-size:35px; line-height:35px;'>对非“生人”对应的图形，如果 匹配 ，请按 <span style=\""color: lightgreen;\"">d键</span></p><p class='footer' style='font-size:35px'>如果 不匹配 ，请按<span style=\""color: lightgreen;\"">f键</p></span>\n                  <p class='footer' style='font-size:22px; line-height:25px;'>请在实验过程中将您的<span style=\""color: lightgreen;\"">食指和中指</span>放在电脑键盘的相应键位上进行按键。</p></span>""]","j","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","387","858765","0.0-18.0-0.0-0.0","1096","","f","","","","","","","","","","","","","key","f","16.649608000000008","960","536","f","true","img/S_28.png","生人","prac_stranger","","朋友"
"","","","","","html-keyboard-response","388","859067","0.0-18.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","389","860960","0.0-18.0-0.0-0.1","893","","f","","","","","","","","","","","","","key","f","16.65049557522067","960","536","f","true","img/S_28.png","自我","prac_stranger","","朋友"
"","","","","","html-keyboard-response","390","861262","0.0-18.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","391","863191","0.0-18.0-0.0-0.2","928","","d","","","","","","","","","","","","","key","d","16.649495652174252","960","536","j","false","img/H_28.png","朋友","prac_stranger","","生人"
"","","","","","html-keyboard-response","392","863493","0.0-18.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","393","865808","0.0-18.0-0.0-0.3","1313","","d","","","","","","","","","","","","","key","d","16.649391304348104","960","536","f","false","img/C_28.png","朋友","prac_stranger","","自我"
"","","","","","html-keyboard-response","394","866109","0.0-18.0-0.0-1.3","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","395","867913","0.0-18.0-0.0-0.4","799","","d","","","","","","","","","","","","","key","d","16.649757009345567","960","536","d","true","img/C_28.png","自我","prac_stranger","","自我"
"","","","","","html-keyboard-response","396","868215","0.0-18.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","397","870146","0.0-18.0-0.0-0.5","928","","f","","","","","","","","","","","","","key","f","16.65042105263197","960","536","k","false","img/H_28.png","生人","prac_stranger","","生人"
"","","","","","html-keyboard-response","398","870448","0.0-18.0-0.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
